shirt_no.,name,jersey_name,position,birthdate,team,club,club_country
15,Oumar Gonzalez,Gonzalez,DF,25.02.1998,Cameroon,Al Reed,Cameroun
16,Devis Rogers Epassy Mboka,EPASSY,GK,02.02.1993,Cameroon,ABBA,Arabie Saoudite
17,Yvan Latour Neyou Noupa,NEYOU,MF,03.01.1997,Cameroon,CD Leganés,Espagne
18,Darlin Zidane Yongwa Ngameni,YONGWA,DF,22.09.2000,Cameroon,FC Lorient,France
19,Faris Pemi Moumbagna,MOUMBAGNA,FW,01.07.2000,Cameroon,FK Bodø/Glimt,Norvège
20,Elliott Benjamin Njongoue,"N, Elliott",MF,05.11.2002,Cameroon,Reading,Angleterre
21,Jean Charles Castelletto,CASTELLETTO,DF,26.01.1995,Cameroon,FC Nantes,France
22,Jules Olivier Ntcham,NTCHAM,MF,09.02.1996,Cameroon,Samsunspor,Turquie
23,Simon Brady Ngapandouetnbu,N. Simon,GK,12.04.2003,Cameroon,Olympique Marseille,France
24,Andre Onana Onana,Onana,GK,02.04.1996,Cameroon,"MANCHESTER UNITED
",Angleterre
25,Malcom Narcisse Bokele Mputu,BOKELE,DF,12.02.2000,Cameroon,G. Bordeaux,France
26,Enzo Gianni Tchato Mbiayi,TCHATO,DF,23.11.2002,Cameroon,Montpellier,France
27,Doualla Wilfried Nathan,Doualla,MF,15.06.2006,Cameroon,Victoria United,Cameroun
1,Josimar José Évora Dias,Vozinha,GK,03.06.1986,Cap Vert,AS Trencin,slovaque
2,Ianique Dos Santos Tavares,Stopira,DF,20.05.1988,Cap Vert,Boavista da Praia,Cap Vert
3,"Edilson Alberto Monteiro
Sanches Borges",Diney,DF,17.01.1995,Cap Vert,Al Bataeh,Émirats arabes unis
4,Roberto Carlos Lopes,Pico,DF,17.06.1992,Cap Vert,Shamrock Rovers,Irlande
5,Logan Evans Costa,Logan Costa,DF,01.04.2001,Cap Vert,FC TOULOUSE,France
6,"Ericksson Patrick Correia
Andrade",Patrick,MF,09.02.1993,Cap Vert,Qarabagh,Azerbaïdjan
7,Jovane Eduardo Borges Cabral,Jovane Cabral,FW,14.06.1998,Cap Vert,SALERNITANA,Italie
8,João Paulo Moreira Fernandes,Fernandes,MF,26.05.1998,Cap Vert,SHERIFF TIRASPOL,Moldavie
9,Gilson Benchimol Tavares,Benchimol,FW,29.12.2001,Cap Vert,"Sport Lisboa e Benfica
",Portugal
10,"Jamiro Gregory Monteiro
Alvarenga",Jamiro Monteiro,MF,23.11.1993,Cap Vert,San Jose Earthquakes,USA
11,Garry Mendes Rodrigues,Rodrigues,FW,27.11.1990,Cap Vert,Ankaraguçu,Turquie
12,Márcio Salomão Brazão Da Rosa,Marcio Rosa,GK,23.02.1997,Cap Vert,Anadia,Portugal
13,"Carlos Miguel Pereira
Fernandes",Cuca,MF,09.01.1991,Cap Vert,União de Leiria,Portugal
14,Deroy D'Encarnação Duarte,Duarte,MF,04.07.1999,Cap Vert,Fortuna Sittard,Pays-Bas
15,"Laros Michael D'Encarnação
Duarte",Laros Duarte,MF,28.02.1997,Cap Vert,Groningen,Pays-Bas
16,Dylan Tavares Dos Santos,Dylan Tavares,DF,30.08.1996,Cap Vert,SC BASTIA,France
17,Willy Johnson Semedo Afonso,Willy Semedo,FW,27.04.1994,Cap Vert,Omonia Nicosia,Chypre
18,Kenny Rocha Santos,Rocha,MF,03.01.2000,Cap Vert,AEZ Zakaziou,Chypre
19,"Bryan Alberto Junior Teixeira
Silva",Teixeira,FW,01.09.2000,Cap Vert,Sturm Graz,Autriche
20,Ryan Isaac Da Graça Mendes,Mendes,FW,08.01.1990,Cap Vert,Fatih Karagumruk,Turquie
21,Tiago Manuel Dias Correia,Bebé,FW,12.07.1990,Cap Vert,RAYO VALLECANO,Espagne
22,João Pedro Araújo Correia,João Correia,DF,05.09.1996,Cap Vert,GD Chaves,Portugal
23,Steven Moreira,Steven Moreira,DF,13.08.1994,Cap Vert,COLUMBUS CREW SC,USA
24,Dylan Ayrton Garcia Da Silva,Dylan,GK,10.02.1999,Cap Vert,Sintrense,Portugal
25,"Hélio Sandro Oliveira Alves
Varela",Helio Varela,FW,03.05.2002,Cap Vert,Portimonense SC,Portugal
26,"Kevin Lenini Gonçalves Pereira
De Pina",Kevin Pina,MF,27.01.1997,Cap Vert,FC Krasnodar,Russie
1,Lionel Mpasi Nzau,MPASI,GK,01.08.1994,Congo Dr,Rodez,France
2,Henock Inonga Baka,INONGA,DF,25.11.1994,Congo Dr,Simba SC,Tanzanie
4,Brian Jephte Bayeye Kifutu,BAYEYE,DF,30.06.2000,Congo Dr,AS Ascoli,Italie
5,Dylan Batubinsika Buduka,BATUBINSIKA,DF,15.02.1996,Congo Dr,AS SAINT ETIENNE,France
6,Aaron Tshibola,TSHIBOLA,MF,02.01.1995,Congo Dr,HATTA CSCLUB,"Émirats arabes
unis"
7,Grady George Diangana,DIANGANA,MF,19.04.1998,Congo Dr,WEST BROMICH,Angleterre
8,Samuel Alain Moutoussamy,MOUTOUSSAMY,MF,12.08.1996,Congo Dr,FC NANTES,France
10,"Theo Mbulofeko Batombo
Bongonda",T.BONGONDA,MF,20.11.1995,Congo Dr,SPARTAK MOSCOU,Russie
11,Silas Mvumpa Katompa,SILAS,FW,06.10.1998,Congo Dr,Stuttgart VFB,Allemagne
12,Joris Kayembe Ditu,J.KAYEMBE,DF,08.08.1994,Congo Dr,GENK,Belgique
13,Meschack Elia Lina,MESCHACK,FW,06.08.1997,Congo Dr,BSC YOUNG BOYS,Suisse
14,Gael Romeo Kakuta Mambenga,G.KAKUTA,MF,21.06.1991,Congo Dr,Amiens SC,France
15,Rocky Bushiri Kisonga,BUSHIRI,DF,30.11.1999,Congo Dr,Hibernian FC,Écosse
16,"Dimitry Jean Sylvain Bertaud
Yaka",BERTAUD,GK,06.06.1998,Congo Dr,MHSC MONTPELLIER,France
17,Cedric Bakambu,BAKAMBU,FW,11.04.1991,Congo Dr,GALATASARAY,Turquie
18,Charles Pickel Monginda,PICKEL,MF,15.05.1997,Congo Dr,Cremonese,Italie
19,Fiston Kalala Mayele,MAYELE,FW,24.06.1994,Congo Dr,Pyramds FC,Égypte
20,Yoane Wissa,WISSA,FW,03.09.1996,Congo Dr,Brentford FC,Angleterre
21,Baggio Siadi Ngusia,SIADI,GK,21.07.1997,Congo Dr,TP Mazembe,R.D. Congo
22,Chancel Mangulu Mbemba,C.MBEMBA,DF,08.08.1994,Congo Dr,Olympique Marseille,France
23,Simon Banza Bokote,BANZA,FW,13.08.1996,Congo Dr,FC Braga,Portugal
24,"Gédeon Tchingoma Kalulu
Kyatengwa",G.KALULU,DF,29.08.1997,Congo Dr,FC LORIENT,France
25,Edo Kayembe Kayembe,E.KAYEMBE,MF,03.06.1998,Congo Dr,WATFORD FC,Angleterre
26,Fuka Arthur Masuaku Kawela,MASUAKU,DF,07.11.1993,Congo Dr,BESIKTAS,Turquie
1,Yahia Fofana,Y.FOFANA,GK,21.08.2000,Côte D'Ivoire,ANGERS SCO,France
2,Ousmane Diomande,OUSMANE,DF,04.12.2003,Côte D'Ivoire,Sporting Lisbon,Portugal
3,N'Clomande Ghislain Konan,G.KONAN,DF,27.12.1995,Côte D'Ivoire,Al Fayha club,Arabie Saoudite
4,Jean Michael Seri,SERI,MF,19.07.1991,Côte D'Ivoire,Hull City Tigers,Angleterre
5,Wilfried Stephane Singo,SINGO,DF,25.12.2000,Côte D'Ivoire,AS MONACO,France
6,Seko Mohamed Fofana,FOFANA,MF,07.05.1995,Côte D'Ivoire,AL NASSR,Arabie Saoudite
7,"Kouakou Odilon Dorgeless
Kossounou",KOSSONOU,DF,04.01.2001,Côte D'Ivoire,"BAYER LEVERKUSEN
",Allemagne
8,Franck Yannick Kessie,KESSIE,MF,19.12.1996,Côte D'Ivoire,Al Ahly,Arabie Saoudite
9,Jonathan Fousseni Bamba,BAMBA,FW,26.03.1996,Côte D'Ivoire,CELTA VIGO,Espagne
10,Karim Konate,KONATE,FW,21.03.2004,Côte D'Ivoire,"FC RED BULL SALZBURG
",Autriche
11,"Jean Philippe Nils Stephan
Krasso",KRASSO,FW,17.07.1997,Côte D'Ivoire,"Etoile Rouge de Belgrade
",Serbie
12,Willy-Arnaud Zobo Boly,W.BOLY,DF,03.02.1991,Côte D'Ivoire,Nottingham Forest,Angleterre
13,Jeremie Boga,BOGA,FW,03.01.1997,Côte D'Ivoire,OGC NCE,France
14,Oumar Diakite,DIAKITE,FW,20.12.2003,Côte D'Ivoire,Stade de Reims,France
15,Max Alain Gradel,MAX GRADEL,FW,30.11.1987,Côte D'Ivoire,GAZIANTEP SPORT,Turquie
16,Ayayi Charles Folly,FOLLY,GK,29.12.1990,Côte D'Ivoire,ASEC MIMOSAS,Côte D'ivoire
17,Serge Alain Stephane Aurier,S.AURIER,DF,24.12.1992,Côte D'Ivoire,Nottingham Forest,Angleterre
18,Ibrahim Sangare,SANGARE,MF,02.12.1997,Côte D'Ivoire,Nottingham Forest,Angleterre
19,Nicolas Pepe,PEPE,FW,29.05.1995,Côte D'Ivoire,TRABZONSPOR,Turquie
20,"Kouakou Christian Michael
Kouame",C.CHRISTIAN,FW,06.12.1997,Côte D'Ivoire,ACF Fiorentina,Italie
21,Obite Evan Ndicka,NDICKA,DF,20.08.1999,Côte D'Ivoire,AS ROMA,Italie
22,Sebastien Romain Teddy Haller,HALLER,FW,22.06.1994,Côte D'Ivoire,Borussia Dortmund,Allemagne
23,Badra Ali Sangare,BADRA ALI,GK,30.05.1986,Côte D'Ivoire,Sekhukhune United FC,"Afrique
Du Sud"
24,Simon Adingra,ADINGRA,FW,01.01.2002,Côte D'Ivoire,"Brighton & Hove Albion
",Angleterre
25,Idrissa Doumbia,DOUMBIA,MF,14.04.1998,Côte D'Ivoire,AL AHLI,Qatar
26,Ismael J.Chester Diallo,DIALLO,DF,29.01.1997,Côte D'Ivoire,HAJDUK SPLIT,Croatie
27,Jean Thierry Lazare Amani,LAZARE,MF,07.03.1998,Côte D'Ivoire,URSG,Belgique
1,"Ahmed Naser Naser Mahmoud
Moawad Elshenawi",A.ELSHENAWY,GK,14.05.1991,Egypt,Pyramids FC,Égypte
2,Aly Gabr Gabr Mossad,ALI GABR,DF,01.01.1989,Egypt,Pyramids FC,Égypte
3,"Mohamed Hany Gamal
Eldemerdash",M.HANY,DF,02.02.1996,Egypt,Al Ahly SC,Égypte
4,Omar Kamal Abd Elwahed,O.KAMAL,DF,29.09.1993,Egypt,Future F.C.,Égypte
5,"Hamdy Fathy Abdelhalim Abdel
Fattah",H.FATHY,MF,29.09.1994,Egypt,Al-Wakah SC,Qatar
6,Ahmed Elsayed Hegazy Ali,HEGAZI,DF,25.01.1991,Egypt,ITTIHAD JEDDAH,"Arabie
Saoudite"
7,Mahmoud Ahmed Ibrahim Hassan,M.TREZEGUET,FW,01.10.1994,Egypt,TRABSZONSPOR,Turquie
8,"Emam Ashour Metwaly
Abdelghany",EMAM ASHOUR,MF,20.02.1998,Egypt,Al Ahly SC,Égypte
9,"Ahmed Hassan Mohamed
Abdelmonem Mohamed Mahgoub",A.HASSAN,FW,05.03.1993,Egypt,Pendikspor,Turquie
10,"Mohamed Salah Salah Mahrous
Ghaly",M.SALAH,FW,15.06.1992,Egypt,LIVERPOOL FC,Angleterre
11,"Mahmoud Abdelmonem
Abdelhamid Soliman",M.KAHRABA,FW,13.04.1994,Egypt,Al Ahly SC,Égypte
12,"Mohamed Hamdy Mahmoud Sharf
Edin",M.HAMDY,DF,15.03.1995,Egypt,Pyramids FC,Égypte
13,"Ahmed Mohamed Abo Elfetouh
Mohamed",A.FATOUH,DF,22.03.1998,Egypt,Zamalek SC,Égypte
14,Marawan Attia Fahim Ghallab,M.ATTIA,MF,01.08.1998,Egypt,Al Ahly SC,Égypte
15,Yasser Ahmed Ibrahim Elhanafy,YASSER,DF,10.02.1993,Egypt,Al Ahly SC,Égypte
16,"Mohamed Elsayed Mohamed
Elshenawy",M.ELSHENAWY,GK,18.12.1988,Egypt,Al Ahly SC,Égypte
17,Mohamed Nasser Elneny,M.ELNENY,MF,11.07.1992,Egypt,Arsenal FC,Angleterre
18,"Mostafa Mohamed Fathi
Abdelhamid Mohamed",M.FATHY,FW,12.05.1994,Egypt,Pyramids FC,Égypte
19,"Mostafa Mohamed Mohamed
Ahmed Abdalla",M.MOHAMED,FW,28.11.1997,Egypt,F C Nantes,France
20,Mahmoud Hamada Awad,M.HAMADA,MF,01.06.1994,Egypt,Al-Masry SC,Égypte
21,Ahmed Sami Saad,A.SAMI,DF,01.04.1992,Egypt,Pyramids FC,Égypte
22,"Omar Khaled Mohamed
Marmoush",MARMOUSH,FW,07.02.1999,Egypt,Eintracht Frankfurt,Allemagne
23,"Mohamed Kotb Kotb Abou Gabal
Ali",GABASKI,GK,29.01.1989,Egypt,National Bank,Égypte
24,"Mohamed Abdelmoneim Elsayed
Mohamed Ahmed",M.ABDELMONIEM,DF,01.02.1999,Egypt,Al Ahly SC,Égypte
25,Ahmed Mostafa Mohamed Sayed,A.ZIZO,MF,10.01.1996,Egypt,Zamalek SC,Égypte
26,"Mohamed Sobhy Mohamed
Daader",M.SOBHY,GK,15.07.1999,Egypt,Zamalek SC,Égypte
27,"Mohanad Mostafa Ahmed
Abdelmonem",M.LASHIN,MF,29.05.1996,Egypt,Pyramids FC,Égypte
1,Jesus Lazaro Owono Ngua,OWONO,GK,01.03.2001,Eq. Guinea,DVO. ALAVES,Espagne
2,Nestor Senra Perez,NÉSTOR SENRA,DF,04.01.2002,Eq. Guinea,REAL AVILES CF,Espagne
3,Marvin Jose Anieboh,M. ANIEBOH,DF,26.08.1997,Eq. Guinea,ILLESCAS,Espagne
4,Frederico Bicoro Akieme Nchama,FEDE BIKORO,MF,17.03.1996,Eq. Guinea,Club Africain Tunis,Tunisie
5,Jose Elo Ayeto,ELO,DF,21.10.2000,Eq. Guinea,AD MERIDA,Espagne
6,Ivan Edu Salvador,IBAN EDÚ,MF,11.12.1995,Eq. Guinea,,
7,Jose Machin Dicombo,MACHÍN,MF,14.08.1996,Eq. Guinea,AC MONZA,Italie
8,Jannick Buyla Sam,YANNICK B.S.,MF,06.10.1998,Eq. Guinea,SD Logroñés,Espagne
9,Salomon Asumu Obama Ondo,S. OBAMA,FW,04.02.2000,Eq. Guinea,UE Santa Coloma,Andorre
10,Emilio Nsue Lopez,NSUE,FW,30.09.1989,Eq. Guinea,FC INTERCITY,Espagne
11,Basilio Ndong Owono Nchama,BASILIO NDONG,DF,17.01.1999,Eq. Guinea,"Universitatea Craiova
",Roumanie
12,Charles Nduwuisi Ondo,NDUWUISI ONDO,DF,22.10.2003,Eq. Guinea,"HUDDERSFIELD TOWN FC
",Angleterre
13,Aitor Mbela Gil,MBÉLA,GK,17.04.1996,Eq. Guinea,CD ASONEJA,Espagne
14,Alejandro Balboa Bandeira,ÁLEX BALBOA,MF,06.03.2001,Eq. Guinea,SD HUESCA,Espagne
15,Carlos Akapo Martinez,AKAPO,DF,12.03.1993,Eq. Guinea,SAN JOSE EARTHQUAKES,USA
17,Jose Antonio Miranda Boacho,J. MIRANDA,FW,22.07.1998,Eq. Guinea,Niki Volou,Grèce
18,Noe Nsue Ela,NOE,FW,17.04.2003,Eq. Guinea,CD NUMANCIA,Espagne
19,Nlavo Asue Luis Miguel,NLAVO,FW,09.07.2001,Eq. Guinea,SC Braga B,Portugal
20,Santiago Bocari Eneme,ENEME BOCARI,MF,29.09.2000,Eq. Guinea,MFK Vyskov,"République
tchèque"
21,Esteban Orozco Fernandez,ESTEBAN O.,DF,07.05.1998,Eq. Guinea,FC ARGES,Roumanie
22,Pablo Ganet Comitre,PABLO GANET,MF,04.11.1994,Eq. Guinea,CD ALCOYANO,Espagne
23,Manuel Mbara Sapunga,SAPUNGA,GK,23.11.1992,Eq. Guinea,Polokwane City FC,"Afrique Du
Sud"
1,Jobe Modou,M.Jobe,GK,27.10.1988,Gambia,MUSANZE FC,Rwanda
2,Hamza Barry,H. Barry,MF,15.10.1994,Gambia,VEJLE FC,Danemark
3,Ablie Jallow,A. Jallow,MF,14.11.1998,Gambia,FC METZ,France
4,Dawda Ngum,D. Ngum,DF,02.09.1990,Gambia,Ariana FC,Suède
5,Omar Colley,O. Colley,DF,24.10.1992,Gambia,BESIKTAS,Turquie
6,Sulayman Marreh,S.Marreh,MF,15.01.1996,Gambia,Unattached,Gambie
7,Alieu Fadera,A. Fadera,FW,03.11.2001,Gambia,GENK,Belgique
8,Ebrima Adams,E. Adams,MF,15.01.1996,Gambia,Cardiff City FC,Angleterre
9,Assan Ceesay,A. Ceesay,FW,17.03.1994,Gambia,DAMAC FC,Arabie Saoudite
10,Musa Barrow,M. Barrow,FW,14.11.1998,Gambia,al taawon,Arabie Saoudite
11,Sanyang Abdoulie,A. Sanyang,MF,08.05.1999,Gambia,GRENOBLE,France
12,James Gomez,J. Gomez,DF,14.11.2001,Gambia,spata Prague,"République
tchèque"
13,Ibou Omar Touray,I. Touray,DF,24.12.1994,Gambia,stockport county,Angleterre
14,Noah Kemeseng Sonko Sundberg,N. Sonko,DF,06.06.1996,Gambia,PFK Ludogorets,Bulgarie
15,Jacob Mendy,J. Mendy,DF,27.12.1996,Gambia,wrexham,Angleterre
16,Alasana Manneh,A. Manneh,MF,08.04.1998,Gambia,BK ODENSE,Danemark
17,Saidy Janko,S.Janko,DF,22.10.1995,Gambia,BSC YOUNG BOYS,Suisse
18,Baboucarr Gaye,B. Gaye,GK,24.02.1998,Gambia,Lokomotiv Sofia,Bulgarie
19,Ebrima Colley,E. Colley,FW,01.02.2000,Gambia,BSC YOUNG BOYS,Suisse
20,Yankuba Minteh,Y. Minteh,FW,22.07.2004,Gambia,FEYENOORD,Pays-Bas
21,Muhammed Sanneh,M. Sanneh,DF,19.02.2000,Gambia,vlasim,République tchèque
22,Lamin Sarr,L.Sarr,GK,11.03.2001,Gambia,eskillsminne,Suède
